timestamp,cars,trucks,buses,motorcycles,vehicles_per_min,traffic_level,emission_index
2026-05-21 13:10:03.167299,9,1,0,2,70.79,HIGH,76.69
2026-05-21 13:10:15.473843,19,2,0,2,61.39,HIGH,69.4
2026-05-21 13:10:36.405322,35,3,0,2,55.29,MEDIUM,62.2
2026-05-21 13:10:47.395210,39,3,0,2,48.53,MEDIUM,54.05
2026-05-21 13:10:58.405452,44,3,0,2,44.95,MEDIUM,49.53
2026-05-21 13:11:09.347296,53,4,0,2,46.36,MEDIUM,51.87
2026-05-21 13:11:19.482422,63,5,0,2,48.56,MEDIUM,54.81
2026-05-21 13:11:29.553102,78,7,0,2,54.06,MEDIUM,62.14
2026-05-21 13:11:39.647541,85,7,0,2,52.88,MEDIUM,60.2
2026-05-21 13:11:49.791263,95,8,0,2,53.94,MEDIUM,61.65
